facilityname,countrycode,floodrisk,latitude,longitude
Smurfit Kappa Kraftliner Piteå,SE,1.54,65.31475,21.44037
Imerys Fused Minerals Ru_e,SI,20.69,46.548561,15.521008
GE CO,US,7.46,42.810809,-73.962246
GE FAIRCHILD MINING EQUIPMENT,US,30,37.37509,-80.85353
LM WIND POWER TCA,US,1.19,30.02499,-89.91942
LM WIND POWER BLADES (USA) INC,US,2.74,34.707028,-92.181917
GE ENGINE SERVICES MCALLEN LP,US,1.59,26.15515,-98.27608
GE ENGINE SERVICES - MCALLEN LP (MAC 2),US,1.78,26.15204,-98.284422
COOPER CROUSE-HINDS LLC,US,3.82,43.084518,-76.159024
EATON AEROQUIP. LLC,US,2.05,36.37861,-85.63956
EATON AEROQUIP. LLC.,US,25.06,36.38637,-85.63678
EATON CORP,US,23.25,38.545055,-90.437011
POWER DISTRIBUTION INC,US,0.08,33.70752,-117.92311
ABBOTT LABORATORIES,US,1.79,37.130556,-79.267778
409 - RED WING OILSEEDS PLANT,US,11.13,44.5683,-92.5333
ADM PROCESSING,US,4.39,48.062103,-100.924722
ADM QUINCY,US,1.14,39.903884,-91.410552
ADM,US,0.02,41.430585,-96.4987
ADM ANIMAL NUTRITION INC,US,0.05,41.436607,-97.252411
ADM ALLIANCE NUTRITION INC,US,0.26,40.854634,-99.987927
NEW ORLEANS SHIPYARD,US,4.68,29.94563,-90.23055
FRITO - LAY INC.,US,22.57,42.09723,-75.83831
PEPSI BEVERAGES COMPANY,US,0.01,33.41317,-111.99065
FRITO-LAY INC.,US,3.08,45.656474,-122.691922
KINGSFORD MANUFACTURING CO,US,0.11,44.063375,-122.980378
ELANCO AUGUSTA TECHNOLOGY CENTER,US,1.38,33.42347,-81.94362
CROWN BEVERAGE PACKAGING,US,1.22,42.6845,-71.17983
CROWN CORK & SEAL CO (USA) INC CROWN CLOSURE DIV,US,18.41,40.38792,-80.62115
CROWN BEVERAGE PACKAGING,US,4.46,44.023655,-107.963969
BAXTER HEALTHCARE CORP.,US,1.45,33.764467,-90.716953
CHEROKEE PHARMACEUTICALS LLC.,US,26.23,40.96131,-76.64329
ABB MOTORS & MECHANICAL INC.,US,1.4,33.47829,-88.44085
HUBBELL LENOIR CITY INC,US,17.39,35.779047,-84.274773
KILLARK A DVISION OF HUBBELL,US,3.59,38.550437,-90.455726
BASF CORP,US,12.78,40.832292,-75.08573
BASF CORP,US,4.15,40.660554,-80.347521
BASF CORP,US,0.19,39.88903,-75.27729
BASF CORP,US,3.63,31.264095,-87.981969
BASF CORP,US,14.18,35.093058,-85.258925
BASF CORP,US,0.7,38.27227,-85.80322
BASF CORP,US,0.1,39.1782,-84.5041
BASF CORP,US,23.4,38.560791,-90.457932
BASF CORP - HANNIBAL SITE,US,4.51,39.834118,-91.436791
BASF CORP,US,1.1,30.1979,-91.0035
BASF NORTH GEISMAR SITE,US,4.59,30.18767,-91.00953
BASF CORP - PORT ALLEN WO RKS,US,4.61,30.49891,-91.22691
BASF CORP - VIDALIA WORKS,US,5.03,31.550959,-91.447034
